temp,humidity,ppm,label quality
38,38,24.01,normal
38,36,22.39,normal
38,36,21.62,normal
38,36,21.62,normal
38,36,21.62,normal
38,36,21.62,normal
38,36,21.62,normal
38,36,21.62,normal
38,36,21.62,normal
39,36,21.62,normal
39,36,20.86,normal
39,36,21.62,normal
39,35,21.62,normal
39,35,21.62,normal
39,35,21.62,normal
39,35,21.62,normal
39,35,21.62,normal
39,35,21.62,normal
39,35,22.39,normal
39,35,21.62,normal
39,35,22.39,normal
39,35,22.39,normal
39,35,22.39,normal
39,35,21.62,normal
39,35,20.86,normal
39,35,21.62,normal
39,35,22.39,normal
39,35,21.62,normal
39,35,21.62,normal
39,35,22.39,normal
39,35,21.62,normal
39,35,25.71,normal
39,35,24.85,normal
39,35,22.39,normal
39,35,21.62,normal
39,34,21.62,normal
39,34,21.62,normal
39,34,20.86,normal
39,34,22.39,normal
39,34,21.62,normal
39,34,21.62,normal
39,34,21.62,normal
39,34,21.62,normal
39,34,21.62,normal
39,34,20.86,normal
39,34,21.62,normal
39,34,21.62,normal
39,34,20.86,normal
39,34,20.86,normal
39,34,20.86,normal
39,34,20.86,normal
39,34,20.86,normal
39,34,20.86,normal
39,34,20.86,normal
39,34,20.13,normal
39,34,20.13,normal
39,34,20.86,normal
39,34,20.13,normal
39,34,20.86,normal
39,34,20.86,normal
39,34,20.13,normal
39,34,19.41,normal
39,34,20.13,normal
39,34,20.86,normal
40,33,20.13,normal
40,33,20.13,normal
40,33,20.13,normal
40,33,20.13,normal
40,33,20.13,normal
40,33,20.86,normal
40,33,20.13,normal
40,33,20.13,normal
40,33,20.13,normal
40,33,19.41,normal
40,33,20.13,normal
40,33,20.13,normal
40,33,20.13,normal
40,33,20.13,normal
40,32,19.41,normal
40,32,18.72,normal
40,32,19.41,normal
40,32,19.41,normal
40,32,19.41,normal
40,32,20.13,normal
40,32,19.41,normal
40,32,19.41,normal
40,32,18.72,normal
40,32,18.72,normal
40,32,19.41,normal
40,32,19.41,normal
40,32,19.41,normal
40,32,19.41,normal
40,32,19.41,normal
40,32,18.72,normal
40,32,19.41,normal
40,32,19.41,normal
40,32,18.72,normal
40,32,18.72,normal
40,32,18.04,normal
40,32,21.62,normal
40,32,18.72,normal
40,32,18.72,normal
40,32,18.04,normal
40,31,18.04,normal
40,31,17.38,normal
40,31,17.38,normal
40,31,18.04,normal
40,31,17.38,normal
40,31,18.04,normal
40,31,17.38,normal
40,31,16.74,normal
40,31,17.38,normal
40,31,16.74,normal
40,31,17.38,normal
40,31,16.74,normal
40,30,17.38,normal
40,30,17.38,normal
40,30,16.74,normal
40,30,16.12,normal
40,30,16.12,normal
40,30,16.12,normal
40,30,16.12,normal
40,30,16.12,normal
40,30,15.51,normal
40,30,15.51,normal
40,30,15.51,normal
40,30,16.12,normal
40,30,16.12,normal
40,30,15.51,normal
40,30,15.51,normal
41,30,15.51,normal
41,29,15.51,unhealthy
41,29,15.51,unhealthy
41,29,14.93,unhealthy
41,29,15.51,unhealthy
41,29,15.51,unhealthy
41,29,14.93,unhealthy
41,29,14.93,unhealthy
41,29,14.93,unhealthy
41,29,14.36,unhealthy
41,29,14.36,unhealthy
41,29,14.36,unhealthy
41,29,14.36,unhealthy
41,29,14.36,unhealthy
41,29,14.36,unhealthy
41,29,14.93,unhealthy
41,29,14.93,unhealthy
41,29,14.36,unhealthy
41,29,14.93,unhealthy
41,29,14.93,unhealthy
41,29,16.74,unhealthy
41,29,14.93,unhealthy
41,29,13.8,unhealthy
41,29,14.36,unhealthy
41,29,14.36,unhealthy
41,29,14.36,unhealthy
41,29,13.8,unhealthy
41,28,14.36,unhealthy
41,28,14.36,unhealthy
41,29,14.36,unhealthy
41,29,15.51,unhealthy
41,29,14.93,unhealthy
41,29,14.93,unhealthy
41,29,14.93,unhealthy
41,29,14.93,unhealthy
41,29,14.36,unhealthy
41,29,14.93,unhealthy
41,28,14.93,unhealthy
41,29,14.93,unhealthy
41,29,14.93,unhealthy
41,29,14.93,unhealthy
41,29,14.93,unhealthy
41,29,14.93,unhealthy
41,28,14.93,unhealthy
41,28,14.36,unhealthy
41,28,14.36,unhealthy
41,28,14.93,unhealthy
41,28,14.36,unhealthy
41,28,14.93,unhealthy
41,28,14.93,unhealthy
41,28,15.51,unhealthy
41,28,14.93,unhealthy
41,28,14.93,unhealthy
41,28,14.36,unhealthy
41,28,14.36,unhealthy
41,28,14.93,unhealthy
41,28,14.93,unhealthy
41,28,14.93,unhealthy
41,28,14.93,unhealthy
41,28,14.93,unhealthy
41,28,15.51,unhealthy
41,28,14.93,unhealthy
41,28,14.93,unhealthy
41,28,14.36,unhealthy
41,28,14.36,unhealthy
41,28,14.93,unhealthy
41,28,15.51,unhealthy
41,28,15.51,unhealthy
41,28,14.93,unhealthy
41,28,14.93,unhealthy
41,28,15.51,unhealthy
41,28,15.51,unhealthy
41,28,15.51,unhealthy
41,28,14.93,unhealthy
41,28,15.51,unhealthy
41,28,15.51,unhealthy
41,28,15.51,unhealthy
42,28,15.51,unhealthy
42,28,15.51,unhealthy
42,28,15.51,unhealthy
42,28,14.93,unhealthy
42,28,14.93,unhealthy
42,28,14.36,unhealthy
42,28,14.36,unhealthy
42,28,14.36,unhealthy
42,28,14.93,unhealthy
42,28,14.93,unhealthy
42,28,14.93,unhealthy
42,28,15.51,unhealthy
42,28,14.93,unhealthy
42,28,14.36,unhealthy
42,28,14.36,unhealthy
42,28,14.36,unhealthy
42,28,14.36,unhealthy
42,28,14.93,unhealthy
42,28,15.51,unhealthy
42,28,15.51,unhealthy
42,28,16.12,unhealthy
42,28,15.51,unhealthy
42,28,15.51,unhealthy
42,28,15.51,unhealthy
42,28,15.51,unhealthy
42,28,16.12,unhealthy
42,28,16.74,unhealthy
42,28,16.74,unhealthy
42,28,16.74,unhealthy
42,28,16.74,unhealthy
42,28,17.38,unhealthy
42,28,17.38,unhealthy
42,28,17.38,unhealthy
42,28,18.04,unhealthy
42,28,18.04,unhealthy
42,28,18.72,unhealthy
42,28,18.04,unhealthy
42,28,18.04,unhealthy
42,28,18.04,unhealthy
42,28,18.04,unhealthy
42,28,18.72,unhealthy
42,28,18.72,unhealthy
42,28,18.04,unhealthy
42,28,18.72,unhealthy
42,28,18.72,unhealthy
42,28,18.72,unhealthy
42,28,18.72,unhealthy
42,28,18.72,unhealthy
42,28,18.72,unhealthy
42,28,19.41,unhealthy
42,28,18.72,unhealthy
42,28,21.62,unhealthy
42,28,18.04,unhealthy
42,28,20.86,unhealthy
42,28,18.04,unhealthy
42,28,18.72,unhealthy
42,28,19.41,unhealthy
42,28,19.41,unhealthy
42,28,21.62,unhealthy
42,28,18.04,unhealthy
42,28,18.72,unhealthy
42,28,18.04,unhealthy
42,28,19.41,unhealthy
